"Year","Month","Day","Venue","Place","Country","LatLng","Date"
1961,"May",14,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-14
1961,"May",15,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-15
1961,"May",16,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-16
1961,"May",17,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-17
1961,"May",18,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-18
1961,"May",19,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-19
1961,"May",20,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-20
1961,"May",21,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-21
1961,"May",22,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-22
1961,"May",23,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-23
1961,"May",24,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-24
1961,"May",25,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-25
1961,"May",26,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-26
1961,"May",27,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-27
1961,"May",28,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-28
1961,"May",29,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-29
1961,"May",30,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-30
1961,"May",31,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-31
1961,"June",1,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-01
1961,"June",2,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-02
1961,"June",3,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-03
1961,"June",4,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-04
1961,"June",5,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-05
1961,"June",6,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-06
1961,"June",7,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-07
1961,"June",8,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-08
1961,"June",9,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-09
1961,"June",10,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-10
1961,"June",11,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-11
1961,"June",12,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-12
1961,"June",13,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-13
1961,"June",14,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-14
1961,"June",15,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-15
1961,"June",16,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-16
1961,"June",17,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-17
1961,"June",18,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-18
1961,"June",19,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-19
1961,"June",20,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-20
1961,"June",21,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-21
1961,"June",22,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-22
1961,"June",23,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-23
1961,"June",24,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-24
1961,"June",25,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-25
1961,"June",26,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-26
1961,"June",27,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-27
1961,"June",28,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-28
1961,"June",29,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-29
1961,"June",30,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-06-30
1961,"July",1,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-07-01
1961,"July",13,"St John's Hall","Liverpool","England","53.4245377:-2.9301605",1961-07-13
1961,"July",14,"Cavern Club","Liverpool","England","53.4062843:-2.987946",1961-07-14
1961,"July",14,"Cavern Club","Liverpool","England","53.4062843:-2.987946",1961-07-14
1961,"July",15,"Holyoake Hall","Liverpool","England","53.3893242:-2.918525",1961-07-15
